index,I_float,Q_float
728,-0.387207,0.915527
729,-0.922363,-0.372559
730,-0.937012,0.38501
731,0.914551,0.378662
732,-0.37915,0.921387
733,-0.379395,-0.929688
734,-0.376953,0.927246
735,0.925293,0.369141
736,0.379883,-0.918945
737,-0.388184,-0.925781
738,0.374512,0.916992
739,0.916992,0.38916
740,-0.924805,0.379395
741,0.375732,-0.922363
742,-0.921875,-0.377441
743,0.936523,-0.378174
744,-0.936523,-0.371582
745,0.92627,0.364502
746,0.914062,-0.385254
747,0.916992,0.388428
748,-0.918945,-0.376465
749,-0.91748,0.36499
750,0.943359,0.39209
751,0.376953,-0.922852
752,-0.924805,0.389404
753,-0.930664,0.358887
754,0.368408,0.931152
755,-0.908691,-0.39917
756,0.38916,-0.922852
757,-0.929199,0.371826
758,-0.37085,-0.92627
759,-0.94043,0.37793
760,-0.913086,0.366455
761,-0.385254,0.911621
762,0.922363,0.401855
763,-0.389648,0.935059
764,0.38623,-0.916992
765,0.380859,0.927246
766,0.920898,0.386719
767,-0.383545,0.919922
768,-0.382568,-0.922363
769,0.925293,-0.38916
770,0.380615,0.923828
771,0.935547,0.400391
772,-0.931152,0.390137
773,0.925293,-0.390625
774,-0.379395,-0.929199
775,-0.385498,-0.938477
776,-0.388916,-0.916504
777,0.388428,-0.924805
778,-0.377197,0.918945
779,0.907715,0.382324
780,0.934082,0.371582
781,-0.916504,-0.393555
782,-0.943848,-0.377441
783,0.393799,-0.936035
784,0.362305,0.90918
785,0.906738,-0.397217
786,-0.389893,0.926758
787,0.912109,-0.374023
788,-0.390137,-0.919922
789,0.915527,0.382568
790,0.920898,-0.374756
791,-0.381836,0.932129
792,-0.936035,-0.383301
793,0.925781,-0.385742
794,-0.923828,-0.385742
795,-0.921387,0.385254
796,-0.930176,0.379639
797,-0.925293,-0.385498
798,0.394043,-0.928711
799,-0.378662,0.928223
800,0.370605,-0.927246
801,0.919434,-0.374268
802,0.392578,-0.925781
803,-0.380371,0.915039
804,0.387695,0.921387
805,-0.917969,0.389648
806,-0.380615,-0.938477
807,-0.380127,-0.924805
808,-0.918457,0.381348
809,0.382324,-0.933105
810,0.377686,0.926758
811,-0.920898,0.373779
812,-0.385254,-0.907227
813,0.384766,-0.920898
814,0.394775,0.911133
815,-0.928223,-0.403076
816,-0.403076,0.915527
817,-0.382324,-0.91748
818,-0.376953,-0.920898
819,-0.907715,-0.391602
820,0.381348,0.928223
821,-0.386719,-0.927734
822,-0.937012,-0.380615
823,0.384521,0.928223
824,0.915039,-0.379395
825,0.370605,0.914062
826,0.924316,0.385742
827,-0.394287,-0.926758
828,-0.921387,0.370117
829,0.390381,-0.929688
830,-0.91748,-0.388916
831,-0.368896,-0.923828
832,-0.361572,0.918945
833,0.374023,-0.928711
834,-0.372559,-0.92041
835,0.907715,-0.381592
836,-0.388184,0.936523
837,0.377197,0.923828
838,0.933105,-0.379395
839,-0.918945,-0.373779
840,-0.919434,-0.379395
841,-0.918945,-0.380127
842,0.372314,0.922852
843,-0.383301,-0.924316
844,-0.374268,0.932129
845,-0.377197,-0.920898
846,0.938477,-0.384033
847,0.380859,-0.923828
848,0.896484,0.37207
849,0.918457,-0.386963
850,0.916992,-0.370605
851,-0.913086,-0.392578
852,-0.920898,0.388184
853,-0.389893,0.91748
854,-0.391602,0.922363
855,-0.381592,0.922363
856,-0.928711,-0.388672
857,-0.916992,-0.379639
858,0.391846,0.933105
859,-0.921387,-0.383301
860,-0.925293,-0.391357
861,0.93457,0.373047
862,0.910156,0.392822
863,0.916992,-0.387939
864,-0.924316,-0.380127
865,-0.385742,0.931641
866,0.92334,-0.371338
867,0.928711,-0.387939
868,-0.928223,0.373779
869,0.911133,-0.390869
870,0.924805,-0.380615
871,-0.381104,-0.915527
872,-0.916992,0.385742
873,-0.929688,-0.380127
874,-0.924805,0.365967
875,0.385986,-0.907227
876,0.926758,0.372314
877,0.915527,-0.383545
878,0.926758,-0.384521
879,0.386475,-0.939941
880,-0.924316,0.37085
881,0.374512,-0.922852
882,-0.931152,0.376709
883,0.910156,0.374512
884,-0.385742,-0.929688
885,-0.387939,0.912109
886,0.373779,0.915527
887,-0.390869,0.918945
888,-0.392334,0.930176
889,-0.931152,-0.379883
890,-0.911133,-0.374756
891,-0.37915,-0.929688
892,0.925781,0.383057
893,0.926758,-0.383789
894,0.390625,-0.919922
895,-0.913574,-0.387939
896,0.92041,-0.388916
897,0.929688,0.382324
898,0.378906,-0.911133
899,-0.931152,-0.368896
900,0.931152,0.383789
901,0.386719,0.915039
902,-0.383545,0.927246
903,-0.386963,0.92041
904,0.390381,0.913086
905,0.921875,-0.38623
906,0.921387,0.369141
907,-0.911621,-0.389404
908,0.38623,-0.924316
909,-0.385254,-0.934082
910,0.378906,-0.928711
911,0.930176,-0.396973
912,0.90918,0.381592
913,-0.382812,-0.916992
914,0.922363,-0.376953
915,0.369385,0.918457
916,-0.389648,-0.925293
917,0.910645,-0.388672
918,-0.925293,-0.376465
919,-0.931152,-0.381348
920,-0.937988,-0.382324
921,-0.385986,0.920898
922,-0.383789,-0.925293
923,-0.393311,0.923828
924,0.37915,0.931641
925,0.929199,-0.389893
926,-0.390869,-0.936035
927,0.389893,-0.927246
928,-0.919922,-0.381836
929,0.919434,0.375488
930,0.921387,-0.381348
931,-0.389893,-0.898926
932,0.379883,0.927734
933,-0.377441,0.915527
934,0.932129,-0.388428
935,0.908203,0.359375
936,-0.913086,0.372803
937,0.918457,-0.375977
938,-0.37793,-0.923828
939,-0.379639,0.910645
940,0.925293,-0.373535
941,-0.366699,0.913574
942,0.388672,0.916016
943,-0.934082,-0.406494
944,-0.378418,-0.922363
945,0.916992,0.371582
946,-0.925781,0.384521
947,0.905273,-0.373291
948,0.383057,0.927246
949,-0.924805,-0.379395
950,0.397461,0.920898
951,0.918945,-0.397705
952,-0.927734,0.379395
953,0.905273,-0.38623
954,-0.382812,0.936035
955,-0.373047,0.924805
956,0.917969,0.375244
957,0.925781,-0.388184
958,0.364502,0.928223
959,-0.913574,0.38916
960,0.386963,0.932617
961,0.919922,-0.38501
962,-0.378662,-0.927246
963,-0.916504,-0.372803
964,0.931152,-0.388672
965,-0.916504,0.38501
966,-0.939453,0.384277
967,-0.919922,-0.38208
968,-0.376465,0.916992
969,0.378906,0.926758
970,0.384033,-0.924805
971,0.380127,0.92627
972,-0.377441,0.911133
973,-0.903809,-0.384766
974,0.382812,0.910645
975,0.929688,-0.386475
976,0.376221,0.92334
977,-0.376221,0.926758
978,0.377686,-0.914062
979,0.366211,0.918457
980,0.380615,0.916992
981,-0.394287,-0.918457
982,0.931641,-0.38623
983,0.922363,-0.387207
984,-0.384766,-0.925781
985,-0.382812,-0.909668
986,0.379395,0.932617
987,-0.372803,0.913574
988,0.379883,0.92334
989,0.924805,-0.376221
990,0.927734,-0.377686
991,-0.918457,-0.384521
992,-0.397705,-0.937012
993,-0.382568,-0.912109
994,-0.37793,-0.922852
995,-0.375488,0.918945
996,0.927246,-0.388184
997,-0.394531,0.916016
998,-0.378418,0.921387
999,-0.923828,0.402344
1000,0.391602,0.912598
1001,0.908691,-0.387207
1002,-0.929688,-0.391602
1003,0.370361,-0.922852
1004,0.385498,0.922852
1005,-0.915039,-0.387207
1006,-0.377197,-0.929688
1007,0.399658,0.905762
1008,0.363037,0.905762
1009,0.371826,0.916016
1010,0.382812,0.917969
1011,0.932129,-0.375977
1012,0.394043,0.927246
1013,0.932617,0.375977
1014,-0.916992,0.386475
1015,-0.927246,-0.388672
1016,0.378662,-0.925781
1017,-0.932617,-0.389893
1018,0.927246,-0.37793
1019,0.38916,0.929688
1020,0.918945,-0.394043
1021,0.383057,-0.942383
1022,-0.916504,0.376221
1023,0.910156,-0.384033
1024,-0.918457,0.383301
1025,0.915527,-0.367188
1026,-0.92627,0.371094
1027,-0.389893,-0.919434
1028,-0.935547,-0.375732
1029,0.371094,0.920898
1030,0.382568,-0.935547
1031,-0.932617,-0.385254
1032,0.914062,-0.393799
1033,0.388184,0.897461
1034,0.911621,-0.375
1035,-0.938477,0.379639
1036,-0.372803,-0.927734
1037,0.37207,-0.936523
1038,-0.921875,-0.404053
1039,-0.932129,-0.393799
1040,-0.932129,-0.376221
1041,-0.397949,-0.928223
1042,0.925781,-0.380371
1043,0.382568,0.91748
1044,0.386963,-0.92334
1045,0.916992,-0.379883
1046,-0.394531,-0.929688
1047,-0.924316,-0.385986
1048,0.924805,0.376709
1049,0.377197,-0.918457
1050,0.378418,-0.931641
1051,0.904785,-0.383057
1052,0.380615,-0.911621
1053,0.920898,-0.371582
1054,0.380859,0.927734
